Year,Hare,Lynx
1845.0,19580.0,1692.5625
1845.25,18458.04769462497,1950.901206897496
1845.5,18302.233079571397,2180.442897168567
1845.75,18790.30192473212,2377.8256388553546
1846.0,19600.0,2539.6875
1846.25,20409.073075267876,2662.666548644646
1846.5,20895.266920428603,2743.400852831434
1846.75,20736.32730537503,2778.5284806025047
1847.0,19610.0,2764.6875
1847.25,17397.222504303518,2699.619121961421
1847.5,14791.699238714189,2585.4771290057
1847.75,12690.326353767763,2425.5184465471293
1848.0,11990.0,2223.000000000001
1848.25,13382.974407518046,1983.3930963221721
1848.5,16742.936124714644,1721.026568645768
1848.75,21738.929779553917,1452.4436316464798
1849.0,28040.0,1194.1875
1849.25,35289.004865624294,960.9002896248941
1849.5,43024.05626242725,759.6197214112302
1849.75,50757.07952801658,595.4824174919512
1850.0,58000.0,473.625
1850.25,64300.53737998477,396.0750811157515
1850.5,69349.58882557636,352.42423320931067
1850.75,72873.84585837976,329.15501869821446
1851.0,74600.0,312.75000000000006
1851.25,74520.87686443658,293.4468468495997
1851.5,73693.83843526727,276.50365825152693
1851.75,73442.38078846432,270.9336405276908
1852.0,75090.0,285.75
1852.25,79356.11141226886,327.51155492334993
1852.5,84543.80743335452,392.95957128458167
1852.75,88352.09973776295,476.3809270035225
1853.0,88480.0,572.0625
1853.25,83487.646236488,676.4688475195005
1853.5,75379.68183131464,794.7752441101468
1853.75,67021.87651048394,934.3346436457193
1854.0,61280.0,1102.4999999999998
1854.25,60283.61614177915,1301.0446956236474
1854.5,63217.46524138696,1509.4238272748316
1854.75,68530.08172030128,1701.5129202885998
1855.0,74670.0,1851.1874999999995
1855.25,80266.7954463954,1939.051588735909
1855.5,84674.20720313751,1972.6231967905264
1855.75,87427.01535831088,1966.1488314498804
1856.0,88060.0,1933.875
1856.25,86239.5145726393,1887.4344963077156
1856.5,82158.20594606297,1828.0052605630628
1856.75,76140.29434645516,1754.1515195368786
1857.0,68510.0,1664.4375000000002
1857.25,59651.552513047434,1558.675269783229
